dataset,contrast,n,mean_pp,ci_low_pp,ci_high_pp,dz,exact_p,wins,ties,losses
digits,ScalarMicroT1 - MLP,10,1.6111111111111087,1.194292970787966,2.0279292514342515,2.7650415088122107,0.001953125,10,0,0
digits,ScalarMicroT3 - MLP,10,1.6388888888888877,1.1757049963000206,2.1020727814777547,2.531155559474294,0.001953125,10,0,0
digits,ScalarMicroT1 - ScalarMicroT3,10,-0.027777777777778793,-0.1405748994565588,0.0850193439010012,-0.1761660658544159,1.0,1,7,2
digits,ScalarMicroT1 - Composite,10,0.5555555555555569,0.25933580186586336,0.8517753092452504,1.3416407864998656,0.001953125,10,0,0
digits,ScalarMicroT1 - LegacyK1,10,-0.05555555555555647,-0.4035349753735335,0.2924238642624206,-0.11420804814403313,0.84375,3,4,3
synthetic_ring,ScalarMicroT1 - MLP,10,1.3250000000000017,0.7501466622940537,1.8998533377059497,1.648851695275326,0.001953125,10,0,0
synthetic_ring,ScalarMicroT3 - MLP,10,0.6916666666666682,0.013688953129338544,1.369644380203998,0.7298005771431123,0.046875,7,0,3
synthetic_ring,ScalarMicroT1 - ScalarMicroT3,10,0.6333333333333335,0.29822512224210984,0.9684415444245571,1.3519793272331624,0.001953125,10,0,0
synthetic_ring,ScalarMicroT1 - Composite,10,1.050000000000001,0.31011444555313306,1.7898855544468688,1.015190453110999,0.015625,8,0,2
